name,1-gram,2-gram,3-gram,last_letter_vowel,vowel,sonorants,ratio_of_syllable,gender
aabheer,r,er,eer,0,n,na,0.5,M
aadarsh,h,sh,rsh,0,n,na,0.5,M
aadesh,h,sh,esh,0,n,na,0.5,M
aadhira,a,ra,ira,1,a,na,0.7,M
aadi,i,di,adi,1,i,na,1.0,M
aadidev,v,ev,dev,0,n,na,0.3,M
aadinath,h,th,ath,0,n,na,0.3,M
aadit,t,it,dit,0,n,na,0.5,M
aaditeya,a,ya,eya,1,a,na,0.5,M
aaditya,a,ya,tya,1,a,na,0.7,M
aadya,a,ya,dya,1,a,na,1.0,M
aagam,m,am,gam,0,n,na,0.5,M
aagney,y,ey,ney,0,n,na,0.5,M
aagneya,a,ya,eya,1,a,na,0.7,M
aahlaad,d,ad,aad,0,n,na,0.5,M
aahva,a,va,hva,1,a,na,1.0,M
aakaash,h,sh,ash,0,n,na,0.5,M
aakar,r,ar,kar,0,n,na,0.5,M
aakarshan,n,an,han,0,n,na,0.3,M
aalap,p,ap,lap,0,n,na,0.5,M
aalok,k,ok,lok,0,n,na,0.5,M
aamod,d,od,mod,0,n,na,0.5,M
aanand,d,nd,and,0,n,na,0.5,M
aanandswarup,p,up,rup,0,n,na,0.2,M
aandaleeb,b,eb,eeb,0,n,na,0.3,M
aanjaneya,a,ya,eya,1,a,na,0.5,M
aapt,t,pt,apt,0,n,na,1.0,M
aaradhak,k,ak,hak,0,n,na,0.3,M
aarnav,v,av,nav,0,n,na,0.5,M
aarth,h,th,rth,0,n,na,1.0,M
aarush,h,sh,ush,0,n,na,0.5,M
aashish,h,sh,ish,0,n,na,0.5,M
aashman,n,an,man,0,n,na,0.5,M
ashlesh,h,sh,esh,0,n,na,0.5,M
aashutosh,h,sh,osh,0,n,na,0.3,M
aashray,y,ay,ray,0,n,na,0.5,M
aastik,k,ik,tik,0,n,na,0.5,M
aatish,h,sh,ish,0,n,na,0.5,M
aatmaj,j,aj,maj,0,n,na,0.5,M
aatreya,a,ya,eya,1,a,na,0.7,M
aayu,u,yu,ayu,1,u,na,1.0,M
aayushmaan,n,an,aan,0,n,na,0.3,M
abeer,r,er,eer,0,n,na,0.5,M
abhay,y,ay,hay,0,n,na,0.5,M
abheek,k,ek,eek,0,n,na,0.5,M
abheesht,t,ht,sht,0,n,na,0.5,M
abhi,i,hi,bhi,1,i,na,1.0,M
abhijaat,t,at,aat,0,n,na,0.3,M
abhijay,y,ay,jay,0,n,na,0.3,M
abhijit,t,it,jit,0,n,na,0.3,M
abhik,k,ik,hik,0,n,na,0.5,M
abhilash,h,sh,ash,0,n,na,0.3,M
abhimanyu,u,yu,nyu,1,u,na,0.5,M
abhinandan,n,an,dan,0,n,na,0.2,M
abhinav,v,av,nav,0,n,na,0.3,M
abhinivesh,h,sh,esh,0,n,na,0.2,M
abhiram,m,am,ram,0,n,na,0.3,M
abhiraj,j,aj,raj,0,n,na,0.3,M
abhirath,h,th,ath,0,n,na,0.3,M
abhirup,p,up,rup,0,n,na,0.3,M
abhisar,r,ar,sar,0,n,na,0.3,M
abhishek,k,ek,hek,0,n,na,0.3,M
abhivaadan,n,an,dan,0,n,na,0.2,M
abhivanth,h,th,nth,0,n,na,0.3,M
abhra,a,ra,hra,1,a,na,1.0,M
abhyudaya,a,ya,aya,1,a,na,0.5,M
achal,l,al,hal,0,n,na,0.5,M
achalendra,a,ra,dra,1,a,na,0.5,M
achalraj,j,aj,raj,0,n,na,0.3,M
acharya,a,ya,rya,1,a,na,0.7,M
achintya,a,ya,tya,1,a,na,0.7,M
achyut,t,ut,yut,0,n,na,0.5,M
achyuthan,n,an,han,0,n,na,0.3,M
adarsh,h,sh,rsh,0,n,na,0.5,M
adeela,a,la,ela,1,a,na,0.7,M
adeep,p,ep,eep,0,n,na,0.5,M
adheer,r,er,eer,0,n,na,0.5,M
adheesh,h,sh,esh,0,n,na,0.5,M
adhik,k,ik,hik,0,n,na,0.5,M
adhip,p,ip,hip,0,n,na,0.5,M
adhiraj,j,aj,raj,0,n,na,0.3,M
adil,l,il,dil,0,n,na,0.5,M
adinath,h,th,ath,0,n,na,0.3,M
adipurush,h,sh,ush,0,n,na,0.2,M
adit,t,it,dit,0,n,na,0.5,M
aditya,a,ya,tya,1,a,na,0.7,M
advait,t,it,ait,0,n,na,0.5,M
advay,y,ay,vay,0,n,na,0.5,M
advaya,a,ya,aya,1,a,na,0.7,M
advik,k,ik,vik,0,n,na,0.5,M
adwaita,a,ta,ita,1,a,na,0.7,M
aganveer,r,er,eer,0,n,na,0.3,M
agastya,a,ya,tya,1,a,na,0.7,M
agendra,a,ra,dra,1,a,na,0.7,M
agharna,a,na,rna,1,a,na,0.7,M
aghat,t,at,hat,0,n,na,0.5,M
aghosh,h,sh,osh,0,n,na,0.5,M
agnimitra,a,ra,tra,1,a,na,0.5,M
agniprava,a,va,ava,1,a,na,0.5,M
agnivesh,h,sh,esh,0,n,na,0.3,M
agraj,j,aj,raj,0,n,na,0.5,M
agrata,a,ta,ata,1,a,na,0.7,M
agrim,m,im,rim,0,n,na,0.5,M
