name,1-gram,2-gram,3-gram,last_letter_vowel,vowel,sonorants,ratio_of_syllable,gender
a,a,a,a,1,a,na,2.0,M
a,a,a,a,1,a,na,2.0,M
a,a,a,a,1,a,na,2.0,F
a,a,a,a,1,a,na,2.0,F
aa,a,aa,aa,1,a,na,2.0,F
aa,a,aa,aa,1,a,na,2.0,F
aaban,n,an,ban,0,n,na,0.5,M
aabha,a,ha,bha,1,a,ha,1.0,F
aabid,d,id,bid,0,n,na,0.5,M
aabraham,m,am,ham,0,n,na,0.3,M
aabriella,a,la,lla,1,a,na,0.7,F
aachal,l,al,hal,0,n,na,0.5,F
aada,a,da,ada,1,a,na,1.0,F
aadam,m,am,dam,0,n,na,0.5,M
aadan,n,an,dan,0,n,na,0.5,M
aadarsh,h,sh,rsh,0,n,na,0.5,M
aaden,n,en,den,0,n,na,0.5,M
aadesh,h,sh,esh,0,n,na,0.5,M
aadham,m,am,ham,0,n,na,0.5,M
aadhav,v,av,hav,0,n,na,0.5,M
aadhavan,n,an,van,0,n,na,0.3,M
aadhi,i,hi,dhi,1,i,na,1.0,M
aadhira,a,ra,ira,1,a,na,0.7,F
aadhvik,k,ik,vik,0,n,na,0.5,M
aadhya,a,ya,hya,1,a,na,1.0,F
aadhyan,n,an,yan,0,n,na,0.5,M
aadi,i,di,adi,1,i,na,1.0,M
aadian,n,an,ian,0,n,na,0.3,M
aadil,l,il,dil,0,n,na,0.5,M
aadila,a,la,ila,1,a,na,0.7,F
aadin,n,in,din,0,n,na,0.5,M
aadish,h,sh,ish,0,n,na,0.5,M
aadison,n,on,son,0,n,na,0.3,F
aadit,t,it,dit,0,n,na,0.5,M
aadith,h,th,ith,0,n,na,0.5,M
aadithya,a,ya,hya,1,a,na,0.7,M
aaditri,i,ri,tri,1,i,na,0.7,F
aaditya,a,ya,tya,1,a,na,0.7,M
aadiv,v,iv,div,0,n,na,0.5,M
aadolf,f,lf,olf,0,n,na,0.5,M
aadon,n,on,don,0,n,na,0.5,M
aadrian,n,an,ian,0,n,na,0.3,M
aadrika,a,ka,ika,1,a,na,0.7,F
aadrit,t,it,rit,0,n,na,0.5,M
aadvik,k,ik,vik,0,n,na,0.5,M
aadvika,a,ka,ika,1,a,na,0.7,F
aadya,a,ya,dya,1,a,na,1.0,F
aadyn,n,yn,dyn,0,n,na,0.5,M
aaeedah,h,ah,dah,0,n,na,0.5,F
aaeesha,a,ha,sha,1,a,ha,1.0,F
aaenab,b,ab,nab,0,n,na,0.5,M
aafia,a,ia,fia,1,a,na,1.0,F
aafiya,a,ya,iya,1,a,na,0.7,F
aafiyah,h,ah,yah,0,n,na,0.3,F
aafje,e,je,fje,1,e,na,2.0,F
aafreen,n,en,een,0,n,na,0.5,F
aafrin,n,in,rin,0,n,na,0.5,F
aaftaab,b,ab,aab,0,n,na,0.5,M
aaftab,b,ab,tab,0,n,na,0.5,M
aagam,m,am,gam,0,n,na,0.5,M
aagand,d,nd,and,0,n,na,0.5,M
aagat,t,at,gat,0,n,na,0.5,M
aage,e,ge,age,1,e,na,2.0,M
aagman,n,an,man,0,n,na,0.5,M
aagot,t,ot,got,0,n,na,0.5,F
aahaan,n,an,aan,0,n,na,0.5,M
aahad,d,ad,had,0,n,na,0.5,M
aahan,n,an,han,0,n,na,0.5,M
aahana,a,na,ana,1,a,na,0.7,F
aahil,l,il,hil,0,n,na,0.5,M
aahim,m,im,him,0,n,na,0.5,M
aahir,r,ir,hir,0,n,na,0.5,M
aahliyah,h,ah,yah,0,n,na,0.3,F
aahna,a,na,hna,1,a,na,1.0,F
aahron,n,on,ron,0,n,na,0.5,M
aaidan,n,an,dan,0,n,na,0.5,M
aaiden,n,en,den,0,n,na,0.5,M
aaidyn,n,yn,dyn,0,n,na,0.5,M
aaila,a,la,ila,1,a,na,1.0,F
aailiyah,h,ah,yah,0,n,na,0.3,F
aailyah,h,ah,yah,0,n,na,0.5,F
aaima,a,ma,ima,1,a,na,1.0,F
aaina,a,na,ina,1,a,na,1.0,F
aaira,a,ra,ira,1,a,na,1.0,F
aairah,h,ah,rah,0,n,na,0.5,F
aaisha,a,ha,sha,1,a,ha,1.0,F
aaishah,h,ah,hah,0,n,na,0.5,F
aaiyana,a,na,ana,1,a,na,0.7,F
aaiza,a,za,iza,1,a,na,1.0,F
aaizah,h,ah,zah,0,n,na,0.5,F
aaja,a,ja,aja,1,a,na,1.0,F
aajad,d,ad,jad,0,n,na,0.5,M
aajah,h,ah,jah,0,n,na,0.5,F
aajaylah,h,ah,lah,0,n,na,0.3,F
aajiv,v,iv,jiv,0,n,na,0.5,M
aajon,n,on,jon,0,n,na,0.5,M
aakanksha,a,ha,sha,1,a,ha,0.7,F
aakar,r,ar,kar,0,n,na,0.5,M
aakarsh,h,sh,rsh,0,n,na,0.5,M
aakas,s,as,kas,0,n,na,0.5,M
aakash,h,sh,ash,0,n,na,0.5,M
aakeem,m,em,eem,0,n,na,0.5,M
aakib,b,ib,kib,0,n,na,0.5,M
aakifa,a,fa,ifa,1,a,na,0.7,F
aakifah,h,ah,fah,0,n,na,0.3,F
aakilah,h,ah,lah,0,n,na,0.3,F
aakira,a,ra,ira,1,a,na,0.7,F
aakiyah,h,ah,yah,0,n,na,0.3,F
aakriti,i,ti,iti,1,i,na,0.7,F
aala,a,la,ala,1,a,na,1.0,F
aalaa,a,aa,laa,1,a,na,1.0,F
aalaiya,a,ya,iya,1,a,na,0.7,F
aalaiyah,h,ah,yah,0,n,na,0.3,F
aalam,m,am,lam,0,n,na,0.5,M
aalana,a,na,ana,1,a,na,0.7,F
