original_name,cleaned_name,genderize,predicted
Shamendra Bhadauria,shamendra,male,male
Road Scholarz,road,male,male
Jain Bhavna,bhavna,male,female
Ram Prasad,prasad,male,male
Puneet Madan,puneet,male,male
Imran Ahmed,imran,male,male
Suruchi Mehta,suruchi,female,female
Neha Kakkar Mehta,neha,female,female
Ruchika Solanki,ruchika,female,female
Manoj Joshi,manoj,male,male
Harish Kalokhe,harish,male,male
Er Bhavna Jain,bhavna,female,female
Anupama Agarwal Vijay,anupama,female,female
Jayant Kunwar,jayant,male,male
Raj Nair,nair,male,male
pushpendra shukla,pushpendra,male,male
Shailendra HILTRON,shailendra,male,male
Sudhanshu Saxena,sudhanshu,male,male
Tom Abbott,tom,male,male
J🅰️SW🅰️NTH CH🅾️WD🅰️RY,jswnth,male,male
Ankita,ankita,female,female
Krishan Lal,lal,male,male
Siddhant BHARDWAJ,siddhant,male,male
Rakesh_Choubey,rakeshchoubey,male,male
Shivam Saha,shivam,male,male
Vikram Sharma,vikram,male,male
Udit Shastri,udit,male,male
Venu Gopal,venu,male,male
Jameel Khan,jameel,male,male
Gaurav Gautam,gaurav,male,male
Priti Nivoriya,priti,female,female
Kamal Advani,advani,male,female
🇮🇳sunshine🇮🇳,sunshine,female,female
o teri!,teri,female,female
Madhavan Narayanan,madhavan,male,male
Megha Jain,megha,female,female
dapper.desi,dapper,male,male
Ravi Sharma,sharma,male,female
Sushant Bhardwaj,sushant,male,male
#Virat Hindu #,virat,male,male
Rajesh J Advani,rajesh,male,male
Bhushan,bhushan,male,male
Mohit Pandey,pandey,male,male
Nitesh Vats,nitesh,male,male
Vidya Shah,vidya,female,female
Pavan Kumar,pavan,male,male
pratyush.pattnaik@gm,pratyush,male,male
Sam Brahmkshatriya,sam,male,male
Anand Kumar,kumar,male,male
Deepinder Walia,deepinder,male,male
Suresh Patodiya,patodiya,male,female
Srinivas,srinivas,male,male
Salim Mulla,mulla,male,female
India EquityResearch,india,female,female
Arun Karthick,arun,male,male
hariharan,hariharan,male,male
Nirmal Pathak,nirmal,male,male
Joydeep Das,joydeep,male,male
Hema Thakur,hema,female,female
Deepak Maurya,deepak,male,male
EMIS M&A DealWatch,emis,female,male
Sajid Nazir,sajid,male,male
Bhavik Parmar,bhavik,male,male
Ramya Ramaswamy,ramya,female,female
Pooja B Gupta,pooja,female,female
Sachin Prakash Barnwal,sachin,male,female
Prince Kumar,prince,male,male
Switch Best,switch,male,male
Chanda Devi Dalmiya,devi,female,male
Ani Raja Peddireddy,ani,female,female
Pam Boschee,pam,female,female
arvind chitale,arvind,male,male
Dark Walls,dark,male,male
me_santanu,mesantanu,male,male
Shalini Jain,shalini,female,female
S.N.A.Subramanian,subramanian,male,male
Mahaveer Mehta,mahaveer,male,male
Jitender Verma,jitender,male,male
Aditya Singh,aditya,male,male
Ajay Verma,ajay,male,male
Deepika Ritesh Jain,deepika,female,female
Anjali Dogra,anjali,female,female
Banu Raghavan,banu,female,female
Balaji Iyer,iyer,male,male
Meena Mehta,meena,female,female
J. Olly,olly,male,male
Indranil Bhattacharya,indranil,male,male
Khusbu Balasaria,khusbu,female,female
Sonali Chauhan,sonali,female,female
Rinku Sharma,rinku,female,female
Nisha,nisha,female,female
Jeetendra Vyas,jeetendra,male,male
Alpesh Shah Asst Dir,alpesh,male,male
Dr. Manjeet Mishra,manjeet,male,male
Sangeetha Delampady,sangeetha,female,female
Abu sufiyan khan,sufiyan,male,male
Mahesh Herle,mahesh,male,male
Ripul Prakash,ripul,male,male
Yash saxena.,yash,male,male
Monika Bhatia,monika,female,female
Rohit Bhuwania,rohit,male,male
Archana Lakhapati,archana,female,female
Sadan Mishra,sadan,male,female
Pradip Pandey,pradip,male,male
SAHIL DINGREJA,sahil,male,male
Harsh Sharma,harsh,male,male
Prasad Patil,patil,male,female
jiten sahoo,jiten,male,male
Jayantha Prabhu,jayantha,male,female
Suraj Bahuguna,suraj,male,male
Vaibhav Gupta,vaibhav,male,male
Richa Upadhyay,richa,female,female
Amiya Gopal Saha,amiya,male,female
Nirmalya,nirmalya,male,female
Meghna Shah,meghna,female,female
Satyam Mishra,satyam,male,male
Himanshu Chourasia,himanshu,male,male
Paras Desai,paras,male,male
Jenie,jenie,female,female
Ankit PITHALE,ankit,male,male
Shivani💕,shivani,female,female
Anbu Arasan,anbu,male,female
Ninad Pundalik,ninad,male,male
Chandan Singh,chandan,male,male
Alok Gupta,alok,male,male
Meenakshi Kapur,meenakshi,female,female
Shweta Budh,shweta,female,female
smruti ranjan,smruti,female,female
Umesh Kumar,umesh,male,male
Hardik Tank,hardik,male,male
